county_fips,county_name,cdc_year,cdc_population,rate_range,rate_midpoint,acs_year,acs_total_pop,acs_female_pop,female_share
18033,"DeKalb County, Indiana",2014,42508,12.1-14,13.05,2023,43584,21831,0.5008948237885462
18029,"Dearborn County, Indiana",2014,49423,16.1-18,17.05,2023,50828,25461,0.5009246871802944
18031,"Decatur County, Indiana",2014,26511,16.1-18,17.05,2023,26411,13198,0.4997160274128204
18035,"Delaware County, Indiana",2014,117201,18.1-20,19.05,2023,112109,57908,0.5165330169745516
18037,"Dubois County, Indiana",2014,42364,8.1-10,9.05,2023,43563,21639,0.4967288754218029
18039,"Elkhart County, Indiana",2014,201739,8.1-10,9.05,2023,206868,104237,0.5038817023415898
18041,"Fayette County, Indiana",2014,23466,22.1-24,23.05,2023,23390,11831,0.505814450619923
18043,"Floyd County, Indiana",2014,76233,14.1-16,15.05,2023,80512,41142,0.5110045707472178
18045,"Fountain County, Indiana",2014,16723,10.1-12,11.05,2023,16546,8252,0.49873081107216244
18047,"Franklin County, Indiana",2014,22898,18.1-20,19.05,2023,22929,11530,0.5028566444240917
18049,"Fulton County, Indiana",2014,20483,12.1-14,13.05,2023,20411,10085,0.494096320611435
18051,"Gibson County, Indiana",2014,33845,10.1-12,11.05,2023,32986,16243,0.4924210271024071
18053,"Grant County, Indiana",2014,68631,20.1-22,21.05,2023,66377,34476,0.5193967790047758
18055,"Greene County, Indiana",2014,32733,18.1-20,19.05,2023,30954,15227,0.49192349938618596
18057,"Hamilton County, Indiana",2014,303278,6.1-8,7.05,2023,357176,181604,0.5084440163952785
18059,"Hancock County, Indiana",2014,71963,14.1-16,15.05,2023,82013,41090,0.5010181312718716
18061,"Harrison County, Indiana",2014,39238,10.1-12,11.05,2023,39785,19766,0.496820409702149
18063,"Hendricks County, Indiana",2014,156083,8.1-10,9.05,2023,179379,89272,0.4976725257694602
18065,"Henry County, Indiana",2014,49072,26.1-28,27.05,2023,48896,23105,0.47253354057591623
18067,"Howard County, Indiana",2014,82693,24.1-26,25.05,2023,83610,43009,0.5144001913646693
18069,"Huntington County, Indiana",2014,36686,12.1-14,13.05,2023,36757,18330,0.4986805234377125
18071,"Jackson County, Indiana",2014,43803,16.1-18,17.05,2023,46319,22697,0.4900148966946609
18073,"Jasper County, Indiana",2014,33464,12.1-14,13.05,2023,33198,16662,0.5018977046810049
18075,"Jay County, Indiana",2014,21147,14.1-16,15.05,2023,20281,10076,0.4968196834475618
18077,"Jefferson County, Indiana",2014,32529,12.1-14,13.05,2023,33074,17168,0.5190784301868537
18079,"Jennings County, Indiana",2014,27996,16.1-18,17.05,2023,27584,13569,0.49191560324825984
18081,"Johnson County, Indiana",2014,147489,12.1-14,13.05,2023,163983,82751,0.5046315776635383
18083,"Knox County, Indiana",2014,37845,14.1-16,15.05,2023,36108,17760,0.49185776005317383
18085,"Kosciusko County, Indiana",2014,78445,10.1-12,11.05,2023,80357,40150,0.4996453327028137
18087,"LaGrange County, Indiana",2014,38462,4.1-6,5.05,2023,40596,19959,0.49164942358853087
18091,"LaPorte County, Indiana",2014,111695,12.1-14,13.05,2023,112141,54005,0.48158122363809847
18089,"Lake County, Indiana",2014,490574,6.1-8,7.05,2023,498990,256128,0.5132928515601515
18093,"Lawrence County, Indiana",2014,45615,14.1-16,15.05,2023,45077,22823,0.5063114226767531
18095,"Madison County, Indiana",2014,129999,26.1-28,27.05,2023,130949,64907,0.4956662517468633
18097,"Marion County, Indiana",2014,934531,16.1-18,17.05,2023,971822,501089,0.5156180864396978
18099,"Marshall County, Indiana",2014,47013,10.1-12,11.05,2023,46225,22835,0.4939967550027042
18101,"Martin County, Indiana",2014,10209,12.1-14,13.05,2023,9854,4782,0.48528516338542727
18103,"Miami County, Indiana",2014,35983,10.1-12,11.05,2023,35772,16377,0.4578161690707816
18105,"Monroe County, Indiana",2014,143571,14.1-16,15.05,2023,139822,70119,0.5014876056700662
18107,"Montgomery County, Indiana",2014,38060,16.1-18,17.05,2023,38155,18725,0.4907613681037872
18109,"Morgan County, Indiana",2014,69590,16.1-18,17.05,2023,72202,36221,0.5016620038226088
18111,"Newton County, Indiana",2014,14072,12.1-14,13.05,2023,13859,6782,0.4893570964716069
18113,"Noble County, Indiana",2014,47595,10.1-12,11.05,2023,47417,23457,0.49469599510724
18115,"Ohio County, Indiana",2014,6008,22.1-24,23.05,2023,5993,3017,0.5034206574336726
18117,"Orange County, Indiana",2014,19686,10.1-12,11.05,2023,19746,9840,0.49832877544819204
18119,"Owen County, Indiana",2014,21034,14.1-16,15.05,2023,21434,10585,0.4938415601380983
18121,"Parke County, Indiana",2014,17227,12.1-14,13.05,2023,16346,8485,0.5190872384681268
18123,"Perry County, Indiana",2014,19387,12.1-14,13.05,2023,19218,8729,0.4542095951711937
18125,"Pike County, Indiana",2014,12641,10.1-12,11.05,2023,12187,6124,0.5025026667760729
18127,"Porter County, Indiana",2014,167308,14.1-16,15.05,2023,174150,87928,0.5048980763709446
18129,"Posey County, Indiana",2014,25520,10.1-12,11.05,2023,25163,12527,0.4978341215276398
18131,"Pulaski County, Indiana",2014,12979,18.1-20,19.05,2023,12441,6259,0.5030946065428824
18133,"Putnam County, Indiana",2014,37660,10.1-12,11.05,2023,37091,17516,0.472243940578577
18135,"Randolph County, Indiana",2014,25341,14.1-16,15.05,2023,24425,12214,0.5000614124872057
18137,"Ripley County, Indiana",2014,28548,14.1-16,15.05,2023,29039,14505,0.49950067151072697
18139,"Rush County, Indiana",2014,16834,14.1-16,15.05,2023,16734,8399,0.501912274411378
18143,"Scott County, Indiana",2014,23678,>30,,2023,24468,12356,0.5049861042994932
18145,"Shelby County, Indiana",2014,44531,14.1-16,15.05,2023,45104,22710,0.503503015253636
18147,"Spencer County, Indiana",2014,20831,10.1-12,11.05,2023,19871,9713,0.4888027779175683
18141,"St. Joseph County, Indiana",2014,267679,12.1-14,13.05,2023,272574,139102,0.510327470705203
18149,"Starke County, Indiana",2014,23037,>30,,2023,23300,11553,0.4958369098712446
18151,"Steuben County, Indiana",2014,34406,8.1-10,9.05,2023,34648,16661,0.48086469637497115
18153,"Sullivan County, Indiana",2014,21003,20.1-22,21.05,2023,20766,9472,0.4561302128479245
18155,"Switzerland County, Indiana",2014,10490,20.1-22,21.05,2023,9914,4876,0.4918297357272544
18157,"Tippecanoe County, Indiana",2014,183670,14.1-16,15.05,2023,187399,91425,0.4878627954258027
18159,"Tipton County, Indiana",2014,15429,18.1-20,19.05,2023,15329,7607,0.49624893991780283
18161,"Union County, Indiana",2014,7225,22.1-24,23.05,2023,7028,3553,0.5055492316448492
18163,"Vanderburgh County, Indiana",2014,181918,22.1-24,23.05,2023,179908,92059,0.5117004246614937
18165,"Vermillion County, Indiana",2014,15694,14.1-16,15.05,2023,15452,7668,0.49624644059021483
18167,"Vigo County, Indiana",2014,108201,14.1-16,15.05,2023,106201,52585,0.4951459967420269
18169,"Wabash County, Indiana",2014,32282,18.1-20,19.05,2023,30901,15739,0.5093362674347108
18171,"Warren County, Indiana",2014,8330,12.1-14,13.05,2023,8469,4250,0.5018302042744126
18173,"Warrick County, Indiana",2014,61267,6.1-8,7.05,2023,64650,32886,0.508677494199536
18175,"Washington County, Indiana",2014,27904,14.1-16,15.05,2023,28167,14166,0.5029289594205986
18177,"Wayne County, Indiana",2014,67447,20.1-22,21.05,2023,66377,33981,0.5119393765912892
18179,"Wells County, Indiana",2014,27827,12.1-14,13.05,2023,28261,14265,0.5047592088036517
18181,"White County, Indiana",2014,24408,12.1-14,13.05,2023,24709,12249,0.49573030070014973
18183,"Whitley County, Indiana",2014,33412,10.1-12,11.05,2023,34388,17168,0.4992439222984762
18001,"Adams County, Indiana",2013,34671,8.1-10,9.05,2023,35995,17987,0.49970829281844703
18003,"Allen County, Indiana",2013,363473,10.1-12,11.05,2023,388791,197503,0.5079927261690729
18005,"Bartholomew County, Indiana",2013,79505,14.1-16,15.05,2023,82881,40949,0.4940698109337484
18007,"Benton County, Indiana",2013,8717,16.1-18,17.05,2023,8708,4244,0.4873679375287092
18009,"Blackford County, Indiana",2013,12473,22.1-24,23.05,2023,12007,6132,0.5107020904472391
18011,"Boone County, Indiana",2013,60458,8.1-10,9.05,2023,72827,36518,0.5014349073832507
18013,"Brown County, Indiana",2013,15029,14.1-16,15.05,2023,15543,7767,0.49971048060220036
18015,"Carroll County, Indiana",2013,20101,10.1-12,11.05,2023,20443,10045,0.4913662378320207
18017,"Cass County, Indiana",2013,38491,6.1-8,7.05,2023,37703,18870,0.5004906771344455
18019,"Clark County, Indiana",2013,112771,16.1-18,17.05,2023,122800,62470,0.50871335504886
18021,"Clay County, Indiana",2013,26735,12.1-14,13.05,2023,26431,13339,0.5046725436041013
18023,"Clinton County, Indiana",2013,32913,14.1-16,15.05,2023,32967,16506,0.5006825006825006
18025,"Crawford County, Indiana",2013,10586,18.1-20,19.05,2023,10494,5199,0.4954259576901086
18027,"Daviess County, Indiana",2013,32303,12.1-14,13.05,2023,33442,16762,0.501226003229472
18033,"DeKalb County, Indiana",2013,42387,12.1-14,13.05,2023,43584,21831,0.5008948237885462
18029,"Dearborn County, Indiana",2013,49755,16.1-18,17.05,2023,50828,25461,0.5009246871802944
