county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18069,2014,"Huntington County, IN",12.1-14,36686,"Huntington County, Indiana",36757,18330,0.4986805234377125
18071,2014,"Jackson County, IN",16.1-18,43803,"Jackson County, Indiana",46319,22697,0.4900148966946609
18073,2014,"Jasper County, IN",12.1-14,33464,"Jasper County, Indiana",33198,16662,0.5018977046810049
18075,2014,"Jay County, IN",14.1-16,21147,"Jay County, Indiana",20281,10076,0.4968196834475618
18077,2014,"Jefferson County, IN",12.1-14,32529,"Jefferson County, Indiana",33074,17168,0.5190784301868537
18079,2014,"Jennings County, IN",16.1-18,27996,"Jennings County, Indiana",27584,13569,0.49191560324825984
18081,2014,"Johnson County, IN",12.1-14,147489,"Johnson County, Indiana",163983,82751,0.5046315776635383
18083,2014,"Knox County, IN",14.1-16,37845,"Knox County, Indiana",36108,17760,0.49185776005317383
18085,2014,"Kosciusko County, IN",10.1-12,78445,"Kosciusko County, Indiana",80357,40150,0.4996453327028137
18091,2014,"La Porte County, IN",12.1-14,111695,"LaPorte County, Indiana",112141,54005,0.48158122363809847
18087,2014,"Lagrange County, IN",4.1-6,38462,"LaGrange County, Indiana",40596,19959,0.49164942358853087
18089,2014,"Lake County, IN",6.1-8,490574,"Lake County, Indiana",498990,256128,0.5132928515601515
18093,2014,"Lawrence County, IN",14.1-16,45615,"Lawrence County, Indiana",45077,22823,0.5063114226767531
18095,2014,"Madison County, IN",26.1-28,129999,"Madison County, Indiana",130949,64907,0.4956662517468633
18097,2014,"Marion County, IN",16.1-18,934531,"Marion County, Indiana",971822,501089,0.5156180864396978
18099,2014,"Marshall County, IN",10.1-12,47013,"Marshall County, Indiana",46225,22835,0.4939967550027042
18101,2014,"Martin County, IN",12.1-14,10209,"Martin County, Indiana",9854,4782,0.48528516338542727
18103,2014,"Miami County, IN",10.1-12,35983,"Miami County, Indiana",35772,16377,0.4578161690707816
18105,2014,"Monroe County, IN",14.1-16,143571,"Monroe County, Indiana",139822,70119,0.5014876056700662
18107,2014,"Montgomery County, IN",16.1-18,38060,"Montgomery County, Indiana",38155,18725,0.4907613681037872
18109,2014,"Morgan County, IN",16.1-18,69590,"Morgan County, Indiana",72202,36221,0.5016620038226088
18111,2014,"Newton County, IN",12.1-14,14072,"Newton County, Indiana",13859,6782,0.4893570964716069
18113,2014,"Noble County, IN",10.1-12,47595,"Noble County, Indiana",47417,23457,0.49469599510724
18115,2014,"Ohio County, IN",22.1-24,6008,"Ohio County, Indiana",5993,3017,0.5034206574336726
18117,2014,"Orange County, IN",10.1-12,19686,"Orange County, Indiana",19746,9840,0.49832877544819204
18119,2014,"Owen County, IN",14.1-16,21034,"Owen County, Indiana",21434,10585,0.4938415601380983
18121,2014,"Parke County, IN",12.1-14,17227,"Parke County, Indiana",16346,8485,0.5190872384681268
18123,2014,"Perry County, IN",12.1-14,19387,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2014,"Pike County, IN",10.1-12,12641,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2014,"Porter County, IN",14.1-16,167308,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2014,"Posey County, IN",10.1-12,25520,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2014,"Pulaski County, IN",18.1-20,12979,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2014,"Putnam County, IN",10.1-12,37660,"Putnam County, Indiana",37091,17516,0.472243940578577
18135,2014,"Randolph County, IN",14.1-16,25341,"Randolph County, Indiana",24425,12214,0.5000614124872057
18137,2014,"Ripley County, IN",14.1-16,28548,"Ripley County, Indiana",29039,14505,0.49950067151072697
18139,2014,"Rush County, IN",14.1-16,16834,"Rush County, Indiana",16734,8399,0.501912274411378
18143,2014,"Scott County, IN",>30,23678,"Scott County, Indiana",24468,12356,0.5049861042994932
18145,2014,"Shelby County, IN",14.1-16,44531,"Shelby County, Indiana",45104,22710,0.503503015253636
18147,2014,"Spencer County, IN",10.1-12,20831,"Spencer County, Indiana",19871,9713,0.4888027779175683
18141,2014,"St. Joseph County, IN",12.1-14,267679,"St. Joseph County, Indiana",272574,139102,0.510327470705203
18149,2014,"Starke County, IN",>30,23037,"Starke County, Indiana",23300,11553,0.4958369098712446
18151,2014,"Steuben County, IN",8.1-10,34406,"Steuben County, Indiana",34648,16661,0.48086469637497115
18153,2014,"Sullivan County, IN",20.1-22,21003,"Sullivan County, Indiana",20766,9472,0.4561302128479245
18155,2014,"Switzerland County, IN",20.1-22,10490,"Switzerland County, Indiana",9914,4876,0.4918297357272544
