"data_as_of","jurisdiction_of_occurrence","urban_rural_classification","year","month","time_period","total_deaths","drug_overdose_deaths"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","2","12 month-ending","669874","18287"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","2","12 month-ending","630331","16312"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","2","12 month-ending","297900","5945"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","2","12 month-ending","304038","5437"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","2","12 month-ending","233179","3125"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","3","12 month-ending","744863","24264"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","3","12 month-ending","673936","18562"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","3","12 month-ending","632237","16648"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","3","12 month-ending","298483","6019"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","3","12 month-ending","304257","5432"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","3","12 month-ending","233420","3182"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","4","12 month-ending","787355","25048"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","4","12 month-ending","703265","19074"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","4","12 month-ending","641623","17197"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","4","12 month-ending","300868","6218"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","4","12 month-ending","306341","5587"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","4","12 month-ending","234383","3296"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","5","12 month-ending","803732","26304"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","5","12 month-ending","716943","19750"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","5","12 month-ending","649400","18000"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","5","12 month-ending","303632","6559"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","5","12 month-ending","307977","5901"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","5","12 month-ending","235417","3451"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","6","12 month-ending","812328","27104"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","6","12 month-ending","721839","20188"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","6","12 month-ending","654750","18554"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","6","12 month-ending","306079","6791"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","6","12 month-ending","309853","6091"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","6","12 month-ending","236825","3559"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","7","12 month-ending","828712","27996"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","7","12 month-ending","730268","20584"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","7","12 month-ending","667682","19142"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","7","12 month-ending","310570","6977"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","7","12 month-ending","313820","6213"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","7","12 month-ending","239818","3672"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","8","12 month-ending","843194","28701"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","8","12 month-ending","738080","20973"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","8","12 month-ending","679890","19569"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","8","12 month-ending","316104","7158"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","8","12 month-ending","319260","6385"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","8","12 month-ending","243796","3801"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","9","12 month-ending","851282","29226"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","9","12 month-ending","743839","21251"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","9","12 month-ending","688339","20099"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","9","12 month-ending","320284","7284"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","9","12 month-ending","323443","6431"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","9","12 month-ending","247153","3864"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","10","12 month-ending","858670","29644"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","10","12 month-ending","750112","21513"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","10","12 month-ending","696001","20345"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","10","12 month-ending","324694","7367"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","10","12 month-ending","328619","6529"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","10","12 month-ending","252034","3934"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","11","12 month-ending","871125","30016"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","11","12 month-ending","761433","21709"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","11","12 month-ending","709704","20605"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","11","12 month-ending","333238","7436"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","11","12 month-ending","337735","6634"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","11","12 month-ending","259934","4012"
"2021-07-04T00:00:00.000","United States","1-Large central metro","2020","12","12 month-ending","901373","30420"
"2021-07-04T00:00:00.000","United States","2-Large fringe metro","2020","12","12 month-ending","784098","21871"
"2021-07-04T00:00:00.000","United States","3-Medium metro","2020","12","12 month-ending","732775","20957"
"2021-07-04T00:00:00.000","United States","4-Small metro","2020","12","12 month-ending","345278","7511"
"2021-07-04T00:00:00.000","United States","5-Micropolitan","2020","12","12 month-ending","350662","6781"
"2021-07-04T00:00:00.000","United States","6-Noncore","2020","12","12 month-ending","269507","4114"
