HOSPITAL_ID,PAYOR1,PATS,TC,TD,PAYER_TYPE,SUBSTANCE_CATEGORY,AVG_CHARGE,AVG_LOS
133,5,15,627620,54,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,41841.333333333336,3.6
133,7,3,87146,7,,Alcohol Disorders; Other Substance Related,29048.666666666668,2.3333333333333335
133,8,8,228370,16,,Alcohol Disorders; Other Substance Related; Drug Overdose,28546.25,2.0
133,10,2,57509,6,,Alcohol Disorders; Other Substance Related,28754.5,3.0
133,11,13,341254,28,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,26250.30769230769,2.1538461538461537
134,1,31,1309475,126,Government (Medicare),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,42241.12903225807,4.064516129032258
134,2,36,1634693,142,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,45408.13888888889,3.9444444444444446
134,3,7,283840,22,Private (Commercial),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,40548.57142857143,3.142857142857143
134,4,7,246775,23,Self-Pay,Alcohol Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,35253.57142857143,3.2857142857142856
134,5,63,2200931,234,,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,34935.4126984127,3.7142857142857144
134,6,5,118785,16,,Alcohol Disorders; Stimulant Disorders; Opioid Overdose,23757.0,3.2
134,7,17,709475,57,,Alcohol Disorders; Opioid Disorders; Other Substance Related; Drug Overdose,41733.82352941176,3.3529411764705883
134,8,13,453371,42,,Alcohol Disorders; Other Substance Related; Drug Overdose,34874.692307692305,3.230769230769231
134,10,5,156395,15,,Alcohol Disorders,31279.0,3.0
134,11,16,635958,71,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose,39747.375,4.4375
136,1,4,72592,15,Government (Medicare),Alcohol Disorders,18148.0,3.75
136,7,4,83444,7,,Alcohol Disorders; Stimulant Disorders; Drug Overdose,20861.0,1.75
136,8,1,46494,12,,Alcohol Disorders,46494.0,12.0
136,11,1,19428,2,,Alcohol Disorders,19428.0,2.0
