"fips","year","state","st","fips_state","county","population","estimated_age_adjusted_death_rate_11_categories_in_ranges"
"18035","1999","Indiana","IN","18","Delaware County, IN","118772","8.1-10"
"18031","2012","Indiana","IN","18","Decatur County, IN","26058","14.1-16"
"18149","2014","Indiana","IN","18","Starke County, IN","23037",">30"
"18179","2013","Indiana","IN","18","Wells County, IN","27733","10.1-12"
"18065","2010","Indiana","IN","18","Henry County, IN","49488","20.1-22"
"18045","2010","Indiana","IN","18","Fountain County, IN","17271","8.1-10"
"18155","2015","Indiana","IN","18","Switzerland County, IN","10524","22.1-24"
"18155","1999","Indiana","IN","18","Switzerland County, IN","8965","2.1-4"
"18097","2014","Indiana","IN","18","Marion County, IN","934531","16.1-18"
"18023","2012","Indiana","IN","18","Clinton County, IN","32944","12.1-14"
"18049","2014","Indiana","IN","18","Fulton County, IN","20483","12.1-14"
"18125","2015","Indiana","IN","18","Pike County, IN","12594","12.1-14"
"18019","2013","Indiana","IN","18","Clark County, IN","112771","16.1-18"
"18159","2010","Indiana","IN","18","Tipton County, IN","15879","14.1-16"
"18025","2015","Indiana","IN","18","Crawford County, IN","10483","22.1-24"
"18085","2011","Indiana","IN","18","Kosciusko County, IN","77363","8.1-10"
"18123","2011","Indiana","IN","18","Perry County, IN","19467","8.1-10"
"18163","2010","Indiana","IN","18","Vanderburgh County, IN","179856","16.1-18"
"18159","2012","Indiana","IN","18","Tipton County, IN","15728","16.1-18"
"18113","2010","Indiana","IN","18","Noble County, IN","47476","8.1-10"
"18141","2010","Indiana","IN","18","St. Joseph County, IN","266797","8.1-10"
"18009","2009","Indiana","IN","18","Blackford County, IN","12844","16.1-18"
"18095","2010","Indiana","IN","18","Madison County, IN","131637","20.1-22"
"18083","2013","Indiana","IN","18","Knox County, IN","38023","12.1-14"
"18059","2011","Indiana","IN","18","Hancock County, IN","70396","12.1-14"
"18139","2000","Indiana","IN","18","Rush County, IN","18194","2.1-4"
"18013","2013","Indiana","IN","18","Brown County, IN","15029","14.1-16"
"18129","2014","Indiana","IN","18","Posey County, IN","25520","10.1-12"
"18023","2013","Indiana","IN","18","Clinton County, IN","32913","14.1-16"
"18169","2014","Indiana","IN","18","Wabash County, IN","32282","18.1-20"
"18017","2014","Indiana","IN","18","Cass County, IN","38336","6.1-8"
"18075","2013","Indiana","IN","18","Jay County, IN","21274","14.1-16"
"18143","2007","Indiana","IN","18","Scott County, IN","24137","20.1-22"
"18111","2002","Indiana","IN","18","Newton County, IN","14343","4.1-6"
"18051","2012","Indiana","IN","18","Gibson County, IN","33577","8.1-10"
"18081","2014","Indiana","IN","18","Johnson County, IN","147489","12.1-14"
"18139","2007","Indiana","IN","18","Rush County, IN","17756","6.1-8"
"18171","2014","Indiana","IN","18","Warren County, IN","8330","12.1-14"
"18131","2004","Indiana","IN","18","Pulaski County, IN","13667","8.1-10"
"18139","2004","Indiana","IN","18","Rush County, IN","17869","4.1-6"
"18003","2012","Indiana","IN","18","Allen County, IN","360859","10.1-12"
"18031","2014","Indiana","IN","18","Decatur County, IN","26511","16.1-18"
"18117","2015","Indiana","IN","18","Orange County, IN","19605","12.1-14"
"18169","2009","Indiana","IN","18","Wabash County, IN","33036","12.1-14"
"18077","2014","Indiana","IN","18","Jefferson County, IN","32529","12.1-14"
"18061","2014","Indiana","IN","18","Harrison County, IN","39238","10.1-12"
"18169","2015","Indiana","IN","18","Wabash County, IN","32138","20.1-22"
"18121","2010","Indiana","IN","18","Parke County, IN","17285","8.1-10"
"18073","2010","Indiana","IN","18","Jasper County, IN","33514","8.1-10"
"18085","2013","Indiana","IN","18","Kosciusko County, IN","77876","8.1-10"
"18007","2013","Indiana","IN","18","Benton County, IN","8717","16.1-18"
"18149","2013","Indiana","IN","18","Starke County, IN","23188",">30"
"18149","2010","Indiana","IN","18","Starke County, IN","23357","26.1-28"
"18147","2013","Indiana","IN","18","Spencer County, IN","20827","10.1-12"
"18107","2011","Indiana","IN","18","Montgomery County, IN","38321","14.1-16"
"18151","2011","Indiana","IN","18","Steuben County, IN","34064","6.1-8"
"18099","2011","Indiana","IN","18","Marshall County, IN","46960","8.1-10"
"18015","2010","Indiana","IN","18","Carroll County, IN","20183","8.1-10"
"18133","2006","Indiana","IN","18","Putnam County, IN","37768","6.1-8"
"18111","2010","Indiana","IN","18","Newton County, IN","14240","8.1-10"
"18041","2013","Indiana","IN","18","Fayette County, IN","23853","20.1-22"
"18171","2012","Indiana","IN","18","Warren County, IN","8386","10.1-12"
"18017","2015","Indiana","IN","18","Cass County, IN","37979","6.1-8"
"18171","2009","Indiana","IN","18","Warren County, IN","8533","6.1-8"
"18125","2011","Indiana","IN","18","Pike County, IN","12759","8.1-10"
"18173","2011","Indiana","IN","18","Warrick County, IN","60241","6.1-8"
"18049","2015","Indiana","IN","18","Fulton County, IN","20315","12.1-14"
"18175","2010","Indiana","IN","18","Washington County, IN","28284","10.1-12"
