county_fips,county_name,female_pop,total_pop,female_share,overdose_rate_midpoint,rate_range,min_drive_time_min,otp_access_tier,poverty_rate_pct,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,mh_events_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events,composite_need_score,county_rank
18047,Franklin County,11530,22929,0.5029,10.59,20.1-22,22.5,15–30 min,4.27,5.7,1.61,3.52,966.67,68.04,22.22,21.67,34.72,27.6,9.6,4.74,34.5,44
18045,Fountain County,8252,16546,0.4987,6.51,12.1-14,22.5,15–30 min,6.18,6.8,2.24,3.44,2025.02,33.81,22.22,41.56,50.0,44.81,9.21,14.93,34.4,45
18019,Clark County,62470,122800,0.5087,9.69,18.1-20,7.5,0–15 min,4.73,7.4,1.93,3.2,2570.46,60.49,0.0,26.46,58.33,36.34,8.02,20.18,34.2,46
18039,Elkhart County,104237,206868,0.5039,4.56,8.1-10,22.5,15–30 min,6.3,8.5,1.71,7.41,3247.43,17.45,22.22,42.81,73.61,30.33,28.86,26.7,34.2,46
18137,Ripley County,14505,29039,0.4995,8.52,16.1-18,22.5,15–30 min,4.8,6.3,1.6,3.35,4751.79,50.67,22.22,27.19,43.06,27.32,8.76,41.19,34.2,46
18157,Tippecanoe County,91425,187399,0.4879,7.34,14.1-16,7.5,0–15 min,9.27,5.7,1.41,2.68,3356.85,40.77,0.0,73.75,34.72,22.13,5.45,27.75,34.0,49
18005,Bartholomew County,40949,82881,0.4941,8.42,16.1-18,7.5,0–15 min,5.93,7.1,1.83,2.57,4310.28,49.83,0.0,38.96,54.17,33.61,4.9,36.93,33.8,50
18181,White County,12249,24709,0.4957,7.46,14.1-16,22.5,15–30 min,4.96,6.4,2.38,3.57,1880.29,41.78,22.22,28.85,44.44,48.63,9.85,13.54,33.4,51
18119,Owen County,10585,21434,0.4938,7.43,14.1-16,22.5,15–30 min,5.88,5.4,2.27,4.64,518.64,41.53,22.22,38.44,30.56,45.63,15.15,0.43,32.4,52
18069,Huntington County,18330,36757,0.4987,7.51,14.1-16,22.5,15–30 min,5.04,6.5,1.6,3.14,3331.32,42.2,22.22,29.69,45.83,27.32,7.72,27.51,32.3,53
18109,Morgan County,36221,72202,0.5017,9.56,18.1-20,7.5,0–15 min,4.26,6.9,1.91,2.56,3775.39,59.4,0.0,21.56,51.39,35.79,4.85,31.78,32.3,53
18033,DeKalb County,21831,43584,0.5009,6.54,12.1-14,22.5,15–30 min,5.06,6.8,2.05,3.41,2647.21,34.06,22.22,29.9,50.0,39.62,9.06,20.92,31.9,55
18093,Lawrence County,22823,45077,0.5063,7.62,14.1-16,22.5,15–30 min,5.72,5.5,1.72,3.24,2370.65,43.12,22.22,36.77,31.94,30.6,8.22,18.26,31.8,56
18003,Allen County,197503,388791,0.508,5.61,10.1-12,7.5,0–15 min,6.2,8.1,2.34,4.17,3022.4,26.26,0.0,41.77,68.06,47.54,12.82,24.53,31.7,57
18145,Shelby County,22710,45104,0.5035,8.58,16.1-18,7.5,0–15 min,5.79,5.7,2.01,3.12,4374.41,51.17,0.0,37.5,34.72,38.52,7.62,37.55,31.6,58
18085,Kosciusko County,40150,80357,0.4996,5.52,10.1-12,37.5,30–45 min,4.85,6.3,1.45,5.55,2091.28,25.5,44.44,27.71,43.06,23.22,19.65,15.57,31.3,59
18103,Miami County,16377,35772,0.4578,5.06,10.1-12,7.5,0–15 min,6.96,7.2,2.98,3.43,1236.43,21.64,0.0,49.69,55.56,65.03,9.16,7.34,31.0,60
18083,Knox County,17760,36108,0.4919,7.4,14.1-16,7.5,0–15 min,6.59,6.5,1.23,3.39,5444.45,41.28,0.0,45.83,45.83,17.21,8.96,47.86,30.9,61
18031,Decatur County,13198,26411,0.4997,8.52,16.1-18,22.5,15–30 min,4.65,5.7,1.3,2.0,3330.2,50.67,22.22,25.63,34.72,19.13,2.08,27.5,30.8,62
18071,Jackson County,22697,46319,0.49,8.35,16.1-18,7.5,0–15 min,5.49,6.2,1.52,4.51,4783.48,49.24,0.0,34.38,41.67,25.14,14.5,41.49,30.8,62
18101,Martin County,4782,9854,0.4853,6.33,12.1-14,22.5,15–30 min,7.96,4.6,1.02,3.45,739.35,32.3,22.22,60.1,19.44,11.48,9.26,2.55,29.2,64
18183,Whitley County,17168,34388,0.4992,5.52,10.1-12,22.5,15–30 min,5.34,5.9,2.25,3.89,2815.89,25.5,22.22,32.81,37.5,45.08,11.44,22.55,29.2,64
18151,Steuben County,16661,34648,0.4809,4.35,8.1-10,37.5,30–45 min,4.23,4.3,3.41,3.03,2835.58,15.69,44.44,21.25,15.28,76.78,7.18,22.74,28.5,66
18001,Adams County,17987,35995,0.4997,5.52,10.1-12,22.5,15–30 min,6.2,5.1,1.35,11.64,1792.77,25.5,22.22,41.77,26.39,20.49,49.8,12.69,28.3,67
18027,Daviess County,16762,33442,0.5012,6.54,12.1-14,22.5,15–30 min,5.21,5.6,0.85,11.83,2228.03,34.06,22.22,31.46,33.33,6.83,50.74,16.89,28.3,67
18159,Tipton County,7607,15329,0.4962,10.45,20.1-22,7.5,0–15 min,5.71,3.3,1.49,3.97,1674.33,66.86,0.0,36.67,1.39,24.32,11.83,11.55,27.9,69
18023,Clinton County,16506,32967,0.5007,8.54,16.1-18,7.5,0–15 min,4.26,6.6,1.55,3.71,1890.69,50.84,0.0,21.56,47.22,25.96,10.54,13.64,27.9,69
18127,Porter County,87928,174150,0.5049,7.6,14.1-16,7.5,0–15 min,4.65,5.9,2.22,2.42,3714.55,42.95,0.0,25.63,37.5,44.26,4.16,31.2,27.7,71
