county_fips,county_name,county_rank,composite_need_score,is_dove_house,overdose_rate_midpoint,rate_range,min_drive_time_min,avg_drive_time_min,otp_access_tier,poverty_rate_pct,median_hh_income,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,rent_burden_30pct_rate,mh_events_per_100k,self_harm_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events
18031,Decatur County,63,30.1,False,17.05,16.1-18,22.5,34.5,15–30 min,9.3,74228,5.7,2.6,4.0,28.9,5793.0,795.1,50.0,22.22,25.64,34.72,18.67,2.18,17.86
18151,Steuben County,65,29.4,False,9.05,8.1-10,37.5,45.0,30–45 min,8.8,71483,4.3,7.1,6.3,33.3,7688.8,1197.8,16.67,44.44,23.08,15.28,78.67,7.77,24.15
18183,Whitley County,66,29.0,False,11.05,10.1-12,22.5,30.0,15–30 min,10.7,75790,5.9,4.5,7.8,34.9,7528.8,735.7,25.0,22.22,32.82,37.5,44.0,11.41,23.62
18159,Tipton County,67,28.1,False,21.05,20.1-22,7.5,17.5,0–15 min,11.5,78309,3.3,3.0,8.0,25.3,5251.5,313.1,66.67,0.0,36.92,1.39,24.0,11.89,16.07
18001,Adams County,67,28.1,False,11.05,10.1-12,22.5,37.5,15–30 min,12.4,63128,5.1,2.7,23.3,32.5,4381.2,405.6,25.0,22.22,41.54,26.39,20.0,49.03,13.18
18027,Daviess County,69,27.8,False,13.05,12.1-14,22.5,35.0,15–30 min,10.4,68561,5.6,1.7,23.6,37.4,4126.5,442.6,33.33,22.22,31.28,33.33,6.67,49.76,12.33
18023,Clinton County,70,27.7,False,17.05,16.1-18,7.5,18.2,0–15 min,8.5,63690,6.6,3.1,7.4,35.3,4741.1,728.0,50.0,0.0,21.54,47.22,25.33,10.44,14.37
18127,Porter County,71,27.1,False,15.05,14.1-16,7.5,13.1,0–15 min,9.2,85828,5.9,4.4,4.8,44.9,9528.6,854.4,41.67,0.0,25.13,37.5,42.67,4.13,30.26
18037,Dubois County,72,26.6,True,9.05,8.1-10,37.5,55.8,30–45 min,9.5,71918,5.7,2.1,4.4,28.4,10150.8,1010.0,16.67,44.44,26.67,34.72,12.0,3.16,32.33
18099,Marshall County,73,26.0,False,11.05,10.1-12,22.5,31.1,15–30 min,10.9,68041,5.2,2.8,13.0,33.8,6766.9,887.0,25.0,22.22,33.85,27.78,21.33,24.03,21.1
18113,Noble County,74,25.7,False,11.05,10.1-12,22.5,32.5,15–30 min,8.5,70908,6.1,3.1,11.7,38.8,6955.3,717.0,25.0,22.22,21.54,40.28,25.33,20.87,21.72
18073,Jasper County,75,25.3,False,13.05,12.1-14,22.5,31.5,15–30 min,6.9,79634,5.7,3.9,4.4,40.3,5494.3,765.1,33.33,22.22,13.33,34.72,36.0,3.16,16.87
18125,Pike County,76,25.1,False,13.05,12.1-14,22.5,35.0,15–30 min,12.2,66250,3.8,3.1,4.3,34.6,2035.0,139.5,33.33,22.22,40.51,8.33,25.33,2.91,5.39
18029,Dearborn County,77,25.0,False,19.05,18.1-20,7.5,12.5,0–15 min,8.1,82693,5.0,2.3,4.8,35.4,7206.7,991.6,58.33,0.0,19.49,25.0,14.67,4.13,22.55
18013,Brown County,78,24.4,False,19.05,18.1-20,7.5,15.0,0–15 min,8.6,72644,4.3,3.2,6.1,54.5,907.2,0.0,58.33,0.0,22.05,15.28,26.67,7.28,1.65
18051,Gibson County,79,23.3,False,11.05,10.1-12,22.5,25.2,15–30 min,10.2,67763,4.8,2.9,4.2,30.2,5608.4,824.6,25.0,22.22,30.26,22.22,22.67,2.67,17.25
18081,Johnson County,79,23.3,False,15.05,14.1-16,7.5,12.5,0–15 min,7.2,87227,6.4,3.0,4.8,40.5,4327.9,602.5,41.67,0.0,14.87,44.44,24.0,4.13,13.0
18087,LaGrange County,81,23.0,False,5.05,4.1-6,37.5,48.2,30–45 min,5.7,83741,5.2,3.4,44.3,19.6,3594.0,421.2,0.0,44.44,7.18,27.78,29.33,100.0,10.57
18129,Posey County,82,22.9,False,11.05,10.1-12,22.5,25.0,15–30 min,9.9,79124,5.3,2.3,3.9,33.1,3473.4,417.3,25.0,22.22,28.72,29.17,14.67,1.94,10.16
18179,Wells County,83,22.7,False,13.05,12.1-14,22.5,28.9,15–30 min,7.2,69741,5.5,2.1,6.6,33.2,3552.6,399.8,33.33,22.22,14.87,31.94,12.0,8.5,10.43
18061,Harrison County,84,22.6,False,11.05,10.1-12,22.5,32.5,15–30 min,7.5,72468,4.9,3.8,5.5,29.3,8573.6,917.4,25.0,22.22,16.41,23.61,34.67,5.83,27.09
18015,Carroll County,85,22.3,False,13.05,12.1-14,22.5,22.5,15–30 min,8.4,64003,4.1,2.9,11.8,24.8,1110.4,88.0,33.33,22.22,21.03,12.5,22.67,21.12,2.32
18133,Putnam County,86,20.6,False,11.05,10.1-12,22.5,33.2,15–30 min,8.1,76182,5.2,2.1,3.9,40.0,3806.9,639.0,25.0,22.22,19.49,27.78,12.0,1.94,11.27
18147,Spencer County,87,20.2,False,13.05,12.1-14,22.5,43.9,15–30 min,6.6,70890,4.0,3.4,3.8,32.5,2420.6,196.3,33.33,22.22,11.79,11.11,29.33,1.7,6.67
18059,Hancock County,88,18.4,False,17.05,16.1-18,7.5,24.6,0–15 min,4.5,91326,4.4,2.7,5.2,39.4,5840.5,575.5,50.0,0.0,1.03,16.67,20.0,5.1,18.02
18063,Hendricks County,89,16.0,False,11.05,10.1-12,7.5,15.7,0–15 min,5.0,99988,5.9,2.5,5.6,43.3,8368.3,794.4,25.0,0.0,3.59,37.5,17.33,6.07,26.41
18173,Warrick County,90,15.6,False,9.05,8.1-10,7.5,22.5,0–15 min,6.4,95027,5.4,2.9,3.1,32.6,15187.9,1548.3,16.67,0.0,10.77,30.56,22.67,0.0,49.04
18011,Boone County,91,15.4,False,11.05,10.1-12,7.5,16.5,0–15 min,5.1,104865,5.4,3.0,4.1,35.6,7727.9,553.4,25.0,0.0,4.1,30.56,24.0,2.43,24.28
18057,Hamilton County,92,10.7,False,9.05,8.1-10,7.5,15.6,0–15 min,4.3,117957,4.8,2.8,4.2,39.1,6000.4,499.2,16.67,0.0,0.0,22.22,21.33,2.67,18.55
