EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2018,MARSHALL,46311,60+,1832,54,634,7/24/2025 9:17
2019,SULLIVAN,20601,60+,446,16,184,7/24/2025 9:17
2020,JOHNSON,162237,< 18,287,109,258,7/24/2025 9:17
2017,DUBOIS,42520,< 18,71,18,87,7/24/2025 9:17
2021,VIGO,106116,< 18,442,216,317,7/24/2025 9:17
2022,SWITZERLAND,10009,60+,98,,45,7/24/2025 9:17
2019,SULLIVAN,20601,< 18,84,22,116,7/24/2025 9:17
2024,SULLIVAN,20757,< 18,141,50,123,7/24/2025 9:17
2023,PULASKI,12385,18 to 60,322,66,163,7/24/2025 9:17
2021,PULASKI,12360,18 to 60,264,45,171,7/24/2025 9:17
2020,PARKE,16150,60+,99,,47,7/24/2025 9:17
2022,JENNINGS,27484,60+,684,21,328,7/24/2025 9:17
2022,JENNINGS,27484,< 18,191,61,247,7/24/2025 9:17
2022,SWITZERLAND,10009,< 18,,,12,7/24/2025 9:17
2020,PARKE,16150,< 18,,,,7/24/2025 9:17
2019,JOHNSON,158332,18 to 60,2483,537,1639,7/24/2025 9:17
2023,LAPORTE,111706,18 to 60,4927,1165,2526,7/24/2025 9:17
2022,HAMILTON,365463,18 to 60,11917,1132,6517,7/24/2025 9:17
2020,WARRICK,63996,18 to 60,3642,795,1237,7/24/2025 9:17
2019,TIPPECANOE,194881,60+,4748,169,1609,7/24/2025 9:17
2024,MADISON,132504,60+,7459,301,2273,7/24/2025 9:17
2019,TIPPECANOE,194881,< 18,448,152,744,7/24/2025 9:17
2017,CLINTON,32155,18 to 60,738,238,317,7/24/2025 9:17
2021,ADAMS,35991,60+,669,19,267,7/24/2025 9:17
2019,MARSHALL,46197,18 to 60,2705,308,713,7/24/2025 9:17
2021,WARRICK,64657,18 to 60,4859,1214,1805,7/24/2025 9:17
2020,JAY,20474,60+,398,,116,7/24/2025 9:17
2023,JENNINGS,27622,18 to 60,1440,238,991,7/24/2025 9:17
2019,JACKSON,44179,18 to 60,2330,379,1518,7/24/2025 9:17
2024,WABASH,30670,< 18,217,79,149,7/24/2025 9:17
2023,VIGO,106153,18 to 60,3212,1005,1248,7/24/2025 9:17
2019,MONTGOMERY,38275,60+,1414,59,566,7/24/2025 9:17
2024,DEARBORN,51215,18 to 60,1832,331,739,7/24/2025 9:17
2024,CLINTON,32730,18 to 60,781,131,361,7/24/2025 9:17
2020,JAY,20474,< 18,46,18,43,7/24/2025 9:17
2024,WABASH,30670,60+,1097,29,337,7/24/2025 9:17
2019,BLACKFORD,11787,60+,264,,57,7/24/2025 9:17
2021,ADAMS,35991,< 18,107,27,115,7/24/2025 9:17
2017,ADAMS,35409,60+,398,13,225,7/24/2025 9:17
2023,BLACKFORD,11893,60+,170,,36,7/24/2025 9:17
2024,MADISON,132504,< 18,1333,431,1105,7/24/2025 9:17
2021,RUSH,16679,18 to 60,757,132,390,7/24/2025 9:17
2023,JAY,20032,60+,355,18,132,7/24/2025 9:17
2021,CLAY,26394,18 to 60,1706,171,1010,7/24/2025 9:17
2023,RANDOLPH,24216,< 18,194,38,258,7/24/2025 9:17
2019,MONTGOMERY,38275,< 18,131,60,229,7/24/2025 9:17
2022,BLACKFORD,11919,60+,258,,74,7/24/2025 9:17
2023,VERMILLION,15417,< 18,28,,14,7/24/2025 9:17
2019,BLACKFORD,11787,< 18,19,,34,7/24/2025 9:17
2023,JAY,20032,< 18,113,38,69,7/24/2025 9:17
2023,RANDOLPH,24216,60+,660,19,314,7/24/2025 9:17
2022,BLACKFORD,11919,< 18,37,11,46,7/24/2025 9:17
2023,BLACKFORD,11893,< 18,35,16,35,7/24/2025 9:17
2017,ADAMS,35409,< 18,12,,45,7/24/2025 9:17
2018,RUSH,16635,18 to 60,677,139,551,7/24/2025 9:17
2023,VERMILLION,15417,60+,200,,135,7/24/2025 9:17
2024,BENTON,8729,60+,94,,59,7/24/2025 9:17
2019,BENTON,8763,60+,81,,37,7/24/2025 9:17
2022,CARROLL,20514,60+,108,,57,7/24/2025 9:17
2024,BENTON,8729,< 18,20,,20,7/24/2025 9:17
2022,CARROLL,20514,< 18,23,,14,7/24/2025 9:17
2019,BENTON,8763,< 18,,,,7/24/2025 9:17
2019,POSEY,25408,< 18,29,,11,7/24/2025 9:17
2018,WAYNE,66131,60+,2415,247,538,7/24/2025 9:17
2020,ORANGE,19850,18 to 60,414,105,211,7/24/2025 9:17
2021,MONTGOMERY,38057,18 to 60,1834,382,1019,7/24/2025 9:17
2019,ORANGE,19657,18 to 60,462,125,185,7/24/2025 9:17
2022,ORANGE,19601,18 to 60,366,50,120,7/24/2025 9:17
2022,HUNTINGTON,36800,18 to 60,1590,337,644,7/24/2025 9:17
2018,FAYETTE,23026,60+,445,,153,7/24/2025 9:17
2020,BLACKFORD,12105,18 to 60,252,21,106,7/24/2025 9:17
2022,BARTHOLOMEW,83394,60+,2974,135,1255,7/24/2025 9:17
2022,MONTGOMERY,38319,18 to 60,1529,293,1008,7/24/2025 9:17
2021,PERRY,19334,60+,652,21,222,7/24/2025 9:17
2020,VERMILLION,15409,18 to 60,329,77,168,7/24/2025 9:17
2018,MONTGOMERY,38251,18 to 60,1509,332,1024,7/24/2025 9:17
2021,BARTHOLOMEW,82729,60+,2574,105,1098,7/24/2025 9:17
2018,WAYNE,66131,< 18,109,54,165,7/24/2025 9:17
2022,BARTHOLOMEW,83394,< 18,549,182,338,7/24/2025 9:17
2021,PERRY,19334,< 18,154,66,75,7/24/2025 9:17
2019,VERMILLION,15493,18 to 60,360,102,189,7/24/2025 9:17
2018,FAYETTE,23026,< 18,26,11,24,7/24/2025 9:17
2021,VERMILLION,15435,18 to 60,353,91,176,7/24/2025 9:17
2021,BARTHOLOMEW,82729,< 18,480,160,268,7/24/2025 9:17
2018,FRANKLIN,22752,18 to 60,206,72,147,7/24/2025 9:17
2017,WARREN,8203,18 to 60,370,67,117,7/24/2025 9:17
2017,PERRY,19010,< 18,68,13,83,7/24/2025 9:17
2023,PIKE,12106,60+,106,,97,7/24/2025 9:17
2017,PERRY,19010,60+,436,33,237,7/24/2025 9:17
2019,POSEY,25408,60+,442,11,167,7/24/2025 9:17
2023,PIKE,12106,< 18,,,,7/24/2025 9:17
2024,WAYNE,66127,18 to 60,3255,786,1310,7/24/2025 9:17
2022,PORTER,174848,< 18,2212,273,715,7/24/2025 9:17
2021,DEKALB,43395,18 to 60,1685,229,656,7/24/2025 9:17
2023,PORTER,175335,60+,5712,226,1775,7/24/2025 9:17
2019,LAPORTE,110044,60+,2697,162,1030,7/24/2025 9:17
2022,MORGAN,72260,60+,2508,106,937,7/24/2025 9:17
2023,BARTHOLOMEW,84003,18 to 60,4303,910,2137,7/24/2025 9:17
2020,WAYNE,66507,18 to 60,3506,1311,1557,7/24/2025 9:17
2022,PORTER,174848,60+,5249,232,1568,7/24/2025 9:17
2022,MORGAN,72260,< 18,386,145,494,7/24/2025 9:17
2020,DEKALB,43292,18 to 60,1142,156,417,7/24/2025 9:17
2017,MORGAN,69835,60+,1278,88,565,7/24/2025 9:17
2023,BOONE,76120,< 18,645,101,426,7/24/2025 9:17
2023,FLOYD,80809,< 18,4220,125,952,7/24/2025 9:17
2023,FLOYD,80809,60+,8269,288,2087,7/24/2025 9:17
2019,DEKALB,43561,18 to 60,1222,200,441,7/24/2025 9:17
2018,WARRICK,62443,< 18,364,146,298,7/24/2025 9:17
2020,WHITE,24673,60+,381,19,202,7/24/2025 9:17
2018,WARRICK,62443,60+,3363,171,1053,7/24/2025 9:17
2023,PORTER,175335,< 18,2685,324,764,7/24/2025 9:17
2019,DEARBORN,49573,60+,762,27,299,7/24/2025 9:17
2023,BOONE,76120,60+,2267,41,1076,7/24/2025 9:17
2019,GREENE,32117,< 18,44,30,63,7/24/2025 9:17
2018,LAPORTE,110134,< 18,204,74,440,7/24/2025 9:17
2024,SCOTT,24657,< 18,135,48,129,7/24/2025 9:17
2018,RIPLEY,28526,18 to 60,455,64,183,7/24/2025 9:17
2019,LAPORTE,110044,< 18,230,103,383,7/24/2025 9:17
2019,GREENE,32117,60+,480,17,171,7/24/2025 9:17
2018,LAPORTE,110134,60+,2526,148,1183,7/24/2025 9:17
2017,MORGAN,69835,< 18,119,45,262,7/24/2025 9:17
2019,DEARBORN,49573,< 18,103,27,153,7/24/2025 9:17
2024,POSEY,25040,18 to 60,372,69,240,7/24/2025 9:17
2020,WHITE,24673,< 18,34,17,54,7/24/2025 9:17
2024,SCOTT,24657,60+,723,24,288,7/24/2025 9:17
2018,POSEY,25529,18 to 60,427,71,221,7/24/2025 9:17
2022,POSEY,25098,18 to 60,468,72,287,7/24/2025 9:17
2020,POSEY,25185,18 to 60,492,74,237,7/24/2025 9:17
2024,MORGAN,73227,18 to 60,3464,584,1848,7/24/2025 9:17
2019,WARRICK,62851,18 to 60,3712,823,1253,7/24/2025 9:17
2020,VANDERBURGH,180336,60+,6185,359,2153,7/24/2025 9:17
2020,VANDERBURGH,180336,< 18,482,199,470,7/24/2025 9:17
2021,DEARBORN,50875,18 to 60,1881,414,743,7/24/2025 9:17
2022,GIBSON,33002,60+,680,25,416,7/24/2025 9:17
2017,GREENE,32194,18 to 60,307,56,212,7/24/2025 9:17
2018,CLARK,117287,18 to 60,2047,149,714,7/24/2025 9:17
2024,KOSCIUSKO,80364,60+,1449,40,586,7/24/2025 9:17
2024,WHITLEY,34742,60+,1138,37,386,7/24/2025 9:17
2020,BROWN,15485,60+,143,20,82,7/24/2025 9:17
2017,CARROLL,20074,60+,65,,49,7/24/2025 9:17
2024,WHITLEY,34742,< 18,237,62,147,7/24/2025 9:17
2024,KOSCIUSKO,80364,< 18,305,108,206,7/24/2025 9:17
2019,CARROLL,20211,< 18,,,,7/24/2025 9:17
2021,DECATUR,26353,18 to 60,1331,161,410,7/24/2025 9:17
2021,BROWN,15592,< 18,15,,10,7/24/2025 9:17
2024,WHITE,24917,18 to 60,586,91,272,7/24/2025 9:17
2023,MIAMI,35402,< 18,81,34,78,7/24/2025 9:17
2021,GIBSON,32965,60+,646,27,467,7/24/2025 9:17
2022,GIBSON,33002,< 18,104,33,96,7/24/2025 9:17
2021,MIAMI,35999,60+,477,14,157,7/24/2025 9:17
2023,MIAMI,35402,60+,484,16,202,7/24/2025 9:17
2023,OWEN,21532,60+,46,,27,7/24/2025 9:17
2022,BENTON,8672,60+,99,,64,7/24/2025 9:17
2021,GIBSON,32965,< 18,101,48,125,7/24/2025 9:17
2017,WHITLEY,33732,< 18,15,,36,7/24/2025 9:17
2019,CARROLL,20211,60+,103,,59,7/24/2025 9:17
2017,WHITLEY,33732,60+,371,,169,7/24/2025 9:17
2021,BROWN,15592,60+,129,11,62,7/24/2025 9:17
2017,CARROLL,20074,< 18,16,,10,7/24/2025 9:17
2018,WHITLEY,34036,60+,287,17,201,7/24/2025 9:17
2020,BROWN,15485,< 18,11,,,7/24/2025 9:17
2018,WHITLEY,34036,< 18,10,0,14,7/24/2025 9:17
2021,MIAMI,35999,< 18,35,,11,7/24/2025 9:17
2023,OWEN,21532,< 18,,,,7/24/2025 9:17
2022,BENTON,8672,< 18,14,,12,7/24/2025 9:17
2019,VANDERBURGH,181561,18 to 60,8978,2013,3929,7/24/2025 9:17
2024,WELLS,28555,18 to 60,462,71,287,7/24/2025 9:17
2018,MARION,959370,60+,28935,1640,8717,7/24/2025 9:17
2024,CLARK,125467,< 18,557,131,476,7/24/2025 9:17
2022,LAKE,499657,60+,29408,1147,8642,7/24/2025 9:17
2022,ALLEN,391644,60+,9950,454,3082,7/24/2025 9:17
2022,ALLEN,391644,< 18,2787,788,1268,7/24/2025 9:17
2022,LAKE,499657,< 18,8381,1536,4062,7/24/2025 9:17
2024,CLARK,125467,60+,3928,140,1318,7/24/2025 9:17
2018,MARION,959370,< 18,2495,905,2985,7/24/2025 9:17
2023,GIBSON,32904,18 to 60,952,177,655,7/24/2025 9:17
2018,GIBSON,33622,18 to 60,693,180,621,7/24/2025 9:17
2020,LAKE,498957,60+,23465,971,6750,7/24/2025 9:17
2020,TIPPECANOE,186387,18 to 60,7249,1634,4121,7/24/2025 9:17
2021,DUBOIS,43565,< 18,326,105,124,7/24/2025 9:17
2017,DEKALB,42830,60+,409,21,48,7/24/2025 9:17
2019,VIGO,106958,60+,2832,188,863,7/24/2025 9:17
2017,MADISON,129465,18 to 60,4500,1050,1661,7/24/2025 9:17
2020,LAKE,498957,< 18,2177,849,2495,7/24/2025 9:17
2019,VIGO,106958,< 18,308,118,332,7/24/2025 9:17
2021,JEFFERSON,33117,18 to 60,1919,361,1170,7/24/2025 9:17
2017,PUTNAM,37409,60+,286,,35,7/24/2025 9:17
2020,GIBSON,33049,18 to 60,805,175,625,7/24/2025 9:17
2021,DUBOIS,43565,60+,1841,41,405,7/24/2025 9:17
2017,DEKALB,42830,< 18,42,18,82,7/24/2025 9:17
2019,HANCOCK,78159,18 to 60,1684,271,1203,7/24/2025 9:17
2019,GIBSON,33709,18 to 60,667,153,565,7/24/2025 9:17
2021,JOHNSON,164394,< 18,397,142,299,7/24/2025 9:17
2019,FULTON,20042,60+,547,11,155,7/24/2025 9:17
2018,WELLS,27982,18 to 60,236,55,138,7/24/2025 9:17
2023,FULTON,20358,60+,672,15,232,7/24/2025 9:17
2019,FULTON,20042,< 18,58,12,86,7/24/2025 9:17
2018,KOSCIUSKO,79467,18 to 60,1107,226,703,7/24/2025 9:17
2021,JOHNSON,164394,60+,2399,81,916,7/24/2025 9:17
2018,MIAMI,35652,18 to 60,408,65,299,7/24/2025 9:17
2022,LAWRENCE,45231,< 18,135,62,166,7/24/2025 9:17
2020,DAVIESS,33357,60+,824,27,286,7/24/2025 9:17
2022,LAWRENCE,45231,60+,829,39,228,7/24/2025 9:17
2022,FULTON,20368,60+,508,15,177,7/24/2025 9:17
2022,FULTON,20368,< 18,81,34,93,7/24/2025 9:17
2018,CARROLL,20208,18 to 60,141,26,79,7/24/2025 9:17
2020,DAVIESS,33357,< 18,87,12,68,7/24/2025 9:17
2023,FULTON,20358,< 18,99,32,77,7/24/2025 9:17
2024,DAVIESS,33656,< 18,128,27,79,7/24/2025 9:17
2017,PUTNAM,37409,< 18,21,11,44,7/24/2025 9:17
2024,DAVIESS,33656,60+,637,22,201,7/24/2025 9:17
2017,BENTON,8637,18 to 60,58,16,37,7/24/2025 9:17
2021,OWEN,21514,18 to 60,121,39,73,7/24/2025 9:17
2023,NEWTON,13960,18 to 60,112,24,54,7/24/2025 9:17
2021,OHIO,5994,18 to 60,61,14,41,7/24/2025 9:17
2017,WELLS,27934,18 to 60,107,33,75,7/24/2025 9:17
2017,MARTIN,10188,18 to 60,,0,,7/24/2025 9:17
2021,CLARK,122895,18 to 60,4586,904,1467,7/24/2025 9:17
2022,ST JOSEPH,272282,< 18,721,204,667,7/24/2025 9:17
2023,JACKSON,46460,18 to 60,2516,321,1706,7/24/2025 9:17
2022,DUBOIS,43492,18 to 60,1882,320,515,7/24/2025 9:17
2020,WABASH,30934,60+,946,26,409,7/24/2025 9:17
2022,ST JOSEPH,272282,60+,5923,201,1190,7/24/2025 9:17
2022,CLARK,124222,18 to 60,4712,913,1294,7/24/2025 9:17
2017,PORTER,168568,60+,3649,91,594,7/24/2025 9:17
2019,JENNINGS,27662,18 to 60,810,175,410,7/24/2025 9:17
2017,VIGO,107648,18 to 60,3675,1381,1411,7/24/2025 9:17
2017,SCOTT,23810,60+,309,24,154,7/24/2025 9:17
2017,PORTER,168568,< 18,228,87,141,7/24/2025 9:17
2020,WABASH,30934,< 18,107,41,86,7/24/2025 9:17
2024,GRANT,66200,< 18,1121,212,1140,7/24/2025 9:17
2020,SCOTT,24377,< 18,153,34,163,7/24/2025 9:17
2017,TIPTON,15148,18 to 60,185,32,93,7/24/2025 9:17
2023,DUBOIS,43546,18 to 60,1876,269,483,7/24/2025 9:17
2024,GRANT,66200,60+,4013,155,1322,7/24/2025 9:17
2023,PARKE,16484,18 to 60,180,45,97,7/24/2025 9:17
2024,GREENE,31196,< 18,136,62,90,7/24/2025 9:17
2023,STEUBEN,34917,18 to 60,1244,221,552,7/24/2025 9:17
2018,PUTNAM,37494,18 to 60,601,115,348,7/24/2025 9:17
2021,GREENE,30862,60+,616,25,280,7/24/2025 9:17
2021,GREENE,30862,< 18,123,68,118,7/24/2025 9:17
2023,SPENCER,19910,18 to 60,255,43,175,7/24/2025 9:17
2017,SCOTT,23810,< 18,41,11,82,7/24/2025 9:17
2021,LAWRENCE,45066,18 to 60,1342,249,773,7/24/2025 9:17
2022,DAVIESS,33496,18 to 60,766,115,335,7/24/2025 9:17
2018,LAGRANGE,39425,60+,164,,145,7/24/2025 9:17
2020,GREENE,30793,< 18,77,37,67,7/24/2025 9:17
2022,LAGRANGE,40854,< 18,144,54,87,7/24/2025 9:17
2022,LAGRANGE,40854,60+,506,22,201,7/24/2025 9:17
2023,STARKE,23206,60+,243,,64,7/24/2025 9:17
2024,GREENE,31196,60+,592,18,191,7/24/2025 9:17
2020,SCOTT,24377,60+,688,34,274,7/24/2025 9:17
2019,STARKE,23011,60+,328,0,41,7/24/2025 9:17
2023,TIPTON,15256,18 to 60,283,40,111,7/24/2025 9:17
2017,SPENCER,20441,18 to 60,194,62,162,7/24/2025 9:17
2023,STARKE,23206,< 18,44,14,42,7/24/2025 9:17
2020,GREENE,30793,60+,559,20,237,7/24/2025 9:17
2020,SPENCER,19833,18 to 60,222,57,190,7/24/2025 9:17
2018,FOUNTAIN,16439,< 18,21,,13,7/24/2025 9:17
2022,UNION,6967,60+,62,,34,7/24/2025 9:17
2018,FOUNTAIN,16439,60+,358,13,151,7/24/2025 9:17
2019,CRAWFORD,10593,60+,47,,21,7/24/2025 9:17
2018,SPENCER,20385,18 to 60,206,58,184,7/24/2025 9:17
2018,PARKE,16955,18 to 60,99,18,69,7/24/2025 9:17
2018,LAGRANGE,39425,< 18,21,,19,7/24/2025 9:17
2022,UNION,6967,< 18,,,,7/24/2025 9:17
2019,CRAWFORD,10593,< 18,,,,7/24/2025 9:17
2019,STARKE,23011,< 18,,0,,7/24/2025 9:17
2021,VANDERBURGH,180165,60+,7902,371,2796,7/24/2025 9:17
2018,PORTER,169647,18 to 60,4188,664,828,7/24/2025 9:17
2021,HAMILTON,357620,< 18,1600,253,1698,7/24/2025 9:17
2017,GRANT,66373,18 to 60,3224,558,1293,7/24/2025 9:17
2018,MONROE,147411,60+,1378,74,262,7/24/2025 9:17
2021,HAMILTON,357620,60+,7489,222,2741,7/24/2025 9:17
2018,HAMILTON,330635,18 to 60,4189,576,2126,7/24/2025 9:17
2021,WABASH,30893,18 to 60,1303,254,471,7/24/2025 9:17
2020,KNOX,36256,60+,1388,73,402,7/24/2025 9:17
2024,VANDERBURGH,179810,60+,7311,299,2849,7/24/2025 9:17
2017,FLOYD,77043,18 to 60,2452,362,688,7/24/2025 9:17
2018,WASHINGTON,27936,< 18,44,10,56,7/24/2025 9:17
2018,HANCOCK,76521,60+,1449,52,392,7/24/2025 9:17
2022,HOWARD,83546,< 18,699,281,749,7/24/2025 9:17
2024,VANDERBURGH,179810,< 18,1421,405,1417,7/24/2025 9:17
2024,HANCOCK,86166,18 to 60,2337,286,1562,7/24/2025 9:17
2021,VANDERBURGH,180165,< 18,981,313,1242,7/24/2025 9:17
2019,GRANT,65836,18 to 60,3220,418,1491,7/24/2025 9:17
2019,CASS,37610,18 to 60,1125,169,518,7/24/2025 9:17
2019,BROWN,15066,60+,89,11,48,7/24/2025 9:17
2022,HOWARD,83546,60+,4744,166,1423,7/24/2025 9:17
2019,JEFFERSON,32265,60+,1283,51,571,7/24/2025 9:17
2018,HANCOCK,76521,< 18,113,25,99,7/24/2025 9:17
2020,KNOX,36256,< 18,140,68,114,7/24/2025 9:17
2018,MONROE,147411,< 18,82,20,99,7/24/2025 9:17
2021,UNION,7018,18 to 60,93,20,54,7/24/2025 9:17
2019,JEFFERSON,32265,< 18,157,88,282,7/24/2025 9:17
2018,WASHINGTON,27936,60+,455,35,177,7/24/2025 9:17
2021,WASHINGTON,28138,60+,618,37,314,7/24/2025 9:17
2022,OWEN,21487,60+,76,,33,7/24/2025 9:17
2021,WASHINGTON,28138,< 18,77,30,133,7/24/2025 9:17
2022,STARKE,23203,18 to 60,238,28,155,7/24/2025 9:17
2020,FOUNTAIN,16492,18 to 60,293,45,207,7/24/2025 9:17
2019,WASHINGTON,28063,60+,463,46,169,7/24/2025 9:17
2024,CRAWFORD,10438,18 to 60,51,,41,7/24/2025 9:17
2022,OWEN,21487,< 18,10,,,7/24/2025 9:17
2017,CRAWFORD,10532,18 to 60,45,,31,7/24/2025 9:17
2023,FOUNTAIN,16731,18 to 60,267,53,181,7/24/2025 9:17
2019,WASHINGTON,28063,< 18,36,,53,7/24/2025 9:17
2018,CRAWFORD,10585,18 to 60,43,,24,7/24/2025 9:17
2019,BROWN,15066,< 18,,,,7/24/2025 9:17
2020,MONROE,139585,18 to 60,3967,832,1525,7/24/2025 9:17
2020,HAMILTON,348996,18 to 60,6795,853,3544,7/24/2025 9:17
2021,HENRY,49024,18 to 60,1888,420,917,7/24/2025 9:17
2017,CLAY,26176,60+,492,20,180,7/24/2025 9:17
2024,HOWARD,83831,18 to 60,5717,1150,2991,7/24/2025 9:17
2022,HENDRICKS,183119,18 to 60,5215,711,3645,7/24/2025 9:17
2017,HOWARD,82302,18 to 60,2936,813,1128,7/24/2025 9:17
2018,JOHNSON,156301,60+,1821,81,879,7/24/2025 9:17
2023,HENDRICKS,186387,18 to 60,6153,870,4128,7/24/2025 9:17
2020,JASPER,32908,18 to 60,837,156,540,7/24/2025 9:17
2017,MARSHALL,46434,60+,1552,54,399,7/24/2025 9:17
2021,MARSHALL,46160,60+,2259,66,742,7/24/2025 9:17
2018,ALLEN,375076,60+,3123,86,1031,7/24/2025 9:17
2018,ALLEN,375076,< 18,186,27,283,7/24/2025 9:17
2017,JEFFERSON,32031,18 to 60,1388,378,720,7/24/2025 9:17
2024,HENRY,48929,18 to 60,2373,390,784,7/24/2025 9:17
2017,MARSHALL,46434,< 18,111,24,121,7/24/2025 9:17
2023,MARSHALL,46352,60+,1233,55,428,7/24/2025 9:17
2023,JASPER,33535,18 to 60,934,204,587,7/24/2025 9:17
2023,DEARBORN,51215,60+,1374,57,483,7/24/2025 9:17
2017,JACKSON,43942,60+,1022,31,294,7/24/2025 9:17
2022,PULASKI,12449,18 to 60,280,54,151,7/24/2025 9:17
2017,JACKSON,43942,< 18,116,41,217,7/24/2025 9:17
2018,JASPER,33356,18 to 60,656,168,515,7/24/2025 9:17
2021,MARSHALL,46160,< 18,260,62,176,7/24/2025 9:17
2020,WASHINGTON,28238,18 to 60,570,134,291,7/24/2025 9:17
2019,CLAY,26301,60+,487,22,172,7/24/2025 9:17
2023,MARSHALL,46352,< 18,243,100,250,7/24/2025 9:17
2021,NEWTON,13820,18 to 60,126,31,77,7/24/2025 9:17
2019,OWEN,20881,18 to 60,184,56,89,7/24/2025 9:17
2018,OWEN,20879,18 to 60,221,64,135,7/24/2025 9:17
2017,CLAY,26176,< 18,51,13,48,7/24/2025 9:17
2023,SWITZERLAND,10019,60+,75,,41,7/24/2025 9:17
2022,SULLIVAN,20671,< 18,88,39,108,7/24/2025 9:17
2019,CLAY,26301,< 18,54,13,58,7/24/2025 9:17
2022,SULLIVAN,20671,60+,504,16,172,7/24/2025 9:17
2018,JOHNSON,156301,< 18,141,49,239,7/24/2025 9:17
2023,DEARBORN,51215,< 18,363,103,218,7/24/2025 9:17
2020,SWITZERLAND,9748,60+,79,,51,7/24/2025 9:17
2023,SWITZERLAND,10019,< 18,,,13,7/24/2025 9:17
2020,SWITZERLAND,9748,< 18,,0,,7/24/2025 9:17
2018,NOBLE,47649,< 18,24,10,44,7/24/2025 9:17
2022,NOBLE,47234,< 18,273,90,193,7/24/2025 9:17
2023,HAMILTON,371645,18 to 60,12020,1176,6331,7/24/2025 9:17
2020,JOHNSON,162237,18 to 60,3186,780,1611,7/24/2025 9:17
2020,HUNTINGTON,36646,60+,1023,47,431,7/24/2025 9:17
2017,HENDRICKS,163637,18 to 60,3318,646,1549,7/24/2025 9:17
2021,ALLEN,389163,< 18,1919,591,815,7/24/2025 9:17
2021,ALLEN,389163,60+,8791,405,3034,7/24/2025 9:17
2022,HANCOCK,83117,60+,2253,96,874,7/24/2025 9:17
2018,ADAMS,35565,60+,381,,186,7/24/2025 9:17
2024,ADAMS,36288,60+,778,21,228,7/24/2025 9:17
2018,NOBLE,47649,60+,440,28,391,7/24/2025 9:17
2017,MONTGOMERY,38343,< 18,50,27,128,7/24/2025 9:17
2021,BLACKFORD,12041,60+,265,,73,7/24/2025 9:17
2018,MARSHALL,46311,18 to 60,2404,290,624,7/24/2025 9:17
2017,MONTGOMERY,38343,60+,719,38,207,7/24/2025 9:17
2020,CLARK,121360,18 to 60,3153,642,1205,7/24/2025 9:17
2017,DUBOIS,42520,18 to 60,1081,151,421,7/24/2025 9:17
2018,SULLIVAN,20673,18 to 60,697,164,294,7/24/2025 9:17
2022,NOBLE,47234,60+,1260,64,598,7/24/2025 9:17
2023,NOBLE,47430,60+,1177,52,515,7/24/2025 9:17
2022,JAY,20118,60+,386,16,158,7/24/2025 9:17
2021,VIGO,106116,18 to 60,4438,1288,1638,7/24/2025 9:17
2022,CLAY,26410,18 to 60,1992,167,970,7/24/2025 9:17
2024,ADAMS,36288,< 18,132,50,75,7/24/2025 9:17
2022,JENNINGS,27484,18 to 60,1452,257,1020,7/24/2025 9:17
2020,HUNTINGTON,36646,< 18,115,41,124,7/24/2025 9:17
2017,NOBLE,47379,60+,375,15,135,7/24/2025 9:17
2021,JAY,20282,< 18,63,25,38,7/24/2025 9:17
2021,BLACKFORD,12041,< 18,26,,48,7/24/2025 9:17
2024,CLAY,26460,18 to 60,1660,146,862,7/24/2025 9:17
2022,JAY,20118,< 18,72,32,60,7/24/2025 9:17
2024,SULLIVAN,20757,18 to 60,685,71,296,7/24/2025 9:17
2021,JAY,20282,60+,356,10,125,7/24/2025 9:17
2022,MARSHALL,46378,18 to 60,1431,234,587,7/24/2025 9:17
2023,WARREN,8518,60+,489,17,163,7/24/2025 9:17
2018,BLACKFORD,11934,< 18,30,,45,7/24/2025 9:17
2024,MONTGOMERY,38573,< 18,294,121,355,7/24/2025 9:17
2024,MONTGOMERY,38573,60+,1607,66,645,7/24/2025 9:17
2023,NOBLE,47430,< 18,329,87,223,7/24/2025 9:17
2018,BLACKFORD,11934,60+,430,10,118,7/24/2025 9:17
2020,FRANKLIN,22788,60+,235,,175,7/24/2025 9:17
2020,FRANKLIN,22788,< 18,12,,15,7/24/2025 9:17
2022,HANCOCK,83117,< 18,318,112,343,7/24/2025 9:17
2018,ADAMS,35565,< 18,27,,62,7/24/2025 9:17
2022,FRANKLIN,23083,60+,208,,167,7/24/2025 9:17
2017,NOBLE,47379,< 18,28,11,58,7/24/2025 9:17
2020,BENTON,8715,60+,77,,53,7/24/2025 9:17
2023,WARREN,8518,< 18,82,42,162,7/24/2025 9:17
2020,BENTON,8715,< 18,10,,,7/24/2025 9:17
2022,FRANKLIN,23083,< 18,27,,24,7/24/2025 9:17
2023,BLACKFORD,11893,18 to 60,257,24,112,7/24/2025 9:17
2020,BARTHOLOMEW,82218,< 18,217,54,176,7/24/2025 9:17
2019,MONTGOMERY,38275,18 to 60,1686,394,1091,7/24/2025 9:17
2021,ELKHART,207054,60+,5955,235,2345,7/24/2025 9:17
2018,ST JOSEPH,270961,60+,11520,420,3265,7/24/2025 9:17
