EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2024,JENNINGS,27622,18 to 60,1302,198,827,7/24/2025 9:17
2018,WARREN,8268,< 18,20,,36,7/24/2025 9:17
2019,RANDOLPH,24533,60+,508,11,171,7/24/2025 9:17
2020,JENNINGS,27580,18 to 60,881,197,561,7/24/2025 9:17
2020,MARSHALL,46071,18 to 60,2357,258,566,7/24/2025 9:17
2023,CLINTON,32730,18 to 60,765,162,390,7/24/2025 9:17
2018,HUNTINGTON,36249,60+,363,,280,7/24/2025 9:17
2024,JAY,20032,60+,554,17,144,7/24/2025 9:17
2018,VERMILLION,15508,< 18,,,,7/24/2025 9:17
2024,VIGO,106153,18 to 60,5514,1331,1669,7/24/2025 9:17
2019,BOONE,67915,< 18,228,37,362,7/24/2025 9:17
2019,SULLIVAN,20601,18 to 60,633,136,318,7/24/2025 9:17
2024,HUNTINGTON,36781,60+,1214,41,453,7/24/2025 9:17
2018,WARREN,8268,60+,343,14,78,7/24/2025 9:17
2023,TIPPECANOE,188792,< 18,940,393,799,7/24/2025 9:17
2019,HUNTINGTON,36544,< 18,116,41,118,7/24/2025 9:17
2020,ADAMS,35849,60+,473,18,210,7/24/2025 9:17
2024,RANDOLPH,24216,60+,748,15,342,7/24/2025 9:17
2019,CLINTON,32298,18 to 60,562,148,254,7/24/2025 9:17
2020,CLAY,26427,18 to 60,861,135,445,7/24/2025 9:17
2023,RUSH,16847,18 to 60,707,99,387,7/24/2025 9:17
2020,RANDOLPH,24415,60+,584,15,305,7/24/2025 9:17
2022,WARREN,8488,< 18,85,39,163,7/24/2025 9:17
2022,WARREN,8488,60+,529,18,252,7/24/2025 9:17
2018,CLAY,26215,18 to 60,674,142,262,7/24/2025 9:17
2020,ADAMS,35849,< 18,73,23,67,7/24/2025 9:17
2021,SWITZERLAND,9869,18 to 60,98,22,59,7/24/2025 9:17
2018,CLINTON,32113,18 to 60,512,157,233,7/24/2025 9:17
2024,RANDOLPH,24216,< 18,169,29,252,7/24/2025 9:17
2017,HUNTINGTON,36253,60+,488,12,273,7/24/2025 9:17
2023,BENTON,8729,60+,96,,57,7/24/2025 9:17
2024,JAY,20032,< 18,125,46,81,7/24/2025 9:17
2020,RANDOLPH,24415,< 18,48,14,86,7/24/2025 9:17
2018,HUNTINGTON,36249,< 18,25,,21,7/24/2025 9:17
2024,VERMILLION,15417,60+,481,23,191,7/24/2025 9:17
2018,VERMILLION,15508,60+,79,,37,7/24/2025 9:17
2024,VERMILLION,15417,< 18,102,34,69,7/24/2025 9:17
2024,FRANKLIN,23096,60+,364,,103,7/24/2025 9:17
2017,HUNTINGTON,36253,< 18,28,,53,7/24/2025 9:17
2018,STEUBEN,34570,18 to 60,325,57,151,7/24/2025 9:17
2017,VERMILLION,15507,60+,106,,19,7/24/2025 9:17
2020,PARKE,16150,18 to 60,131,23,84,7/24/2025 9:17
2017,VERMILLION,15507,< 18,15,,11,7/24/2025 9:17
2024,FRANKLIN,23096,< 18,55,14,27,7/24/2025 9:17
2019,RANDOLPH,24533,< 18,51,11,79,7/24/2025 9:17
2024,BLACKFORD,11893,60+,68,,51,7/24/2025 9:17
2022,SWITZERLAND,10009,18 to 60,123,21,65,7/24/2025 9:17
2023,BENTON,8729,< 18,25,10,19,7/24/2025 9:17
2024,BLACKFORD,11893,< 18,,,,7/24/2025 9:17
2020,ALLEN,386103,18 to 60,14274,2761,5156,7/24/2025 9:17
2023,MARION,968460,18 to 60,63184,13011,32527,7/24/2025 9:17
2018,DEKALB,43231,60+,176,,27,7/24/2025 9:17
2022,MADISON,131383,18 to 60,8141,1835,5004,7/24/2025 9:17
2021,ADAMS,35991,18 to 60,803,122,340,7/24/2025 9:17
2020,DELAWARE,111762,60+,3647,95,819,7/24/2025 9:17
2019,TIPPECANOE,194881,18 to 60,7241,1514,4268,7/24/2025 9:17
2017,SHELBY,44378,60+,805,39,175,7/24/2025 9:17
2018,DELAWARE,114118,60+,2485,85,382,7/24/2025 9:17
2024,MADISON,132504,18 to 60,10474,1609,4918,7/24/2025 9:17
2017,BOONE,65833,18 to 60,1204,134,881,7/24/2025 9:17
2022,DEKALB,43813,< 18,242,95,183,7/24/2025 9:17
2017,ADAMS,35409,18 to 60,372,59,272,7/24/2025 9:17
2020,PERRY,19155,< 18,141,52,72,7/24/2025 9:17
2017,HAMILTON,323225,18 to 60,3321,602,1565,7/24/2025 9:17
2019,DELAWARE,113769,< 18,275,58,177,7/24/2025 9:17
2018,TIPPECANOE,193705,18 to 60,7540,1775,4598,7/24/2025 9:17
2019,DELAWARE,113769,60+,3410,94,717,7/24/2025 9:17
2019,WARREN,8262,18 to 60,368,57,159,7/24/2025 9:17
2019,BARTHOLOMEW,84063,60+,2247,75,828,7/24/2025 9:17
2019,BARTHOLOMEW,84063,< 18,192,50,109,7/24/2025 9:17
2020,PERRY,19155,60+,599,14,223,7/24/2025 9:17
2022,DEKALB,43813,60+,1137,71,353,7/24/2025 9:17
2020,DELAWARE,111762,< 18,273,55,170,7/24/2025 9:17
2023,ORANGE,19638,18 to 60,567,68,145,7/24/2025 9:17
2017,FAYETTE,23138,< 18,31,18,57,7/24/2025 9:17
2019,RIPLEY,28465,< 18,104,21,174,7/24/2025 9:17
2017,SHELBY,44378,< 18,79,33,145,7/24/2025 9:17
2020,WARREN,8423,18 to 60,345,60,184,7/24/2025 9:17
2018,DELAWARE,114118,< 18,338,77,164,7/24/2025 9:17
2019,RIPLEY,28465,60+,1382,27,361,7/24/2025 9:17
2021,CARROLL,20525,18 to 60,150,26,115,7/24/2025 9:17
2021,WARREN,8449,18 to 60,616,87,510,7/24/2025 9:17
2023,CARROLL,20525,18 to 60,147,33,72,7/24/2025 9:17
2021,POSEY,25165,60+,734,13,274,7/24/2025 9:17
2017,FAYETTE,23138,60+,836,36,231,7/24/2025 9:17
2021,FRANKLIN,22889,18 to 60,190,46,174,7/24/2025 9:17
2018,DEKALB,43231,< 18,36,,32,7/24/2025 9:17
2018,SWITZERLAND,10757,< 18,,,,7/24/2025 9:17
